2014-05-25,Pearl,tt0458525,X-Men Origins: Wolverine,2009,"Hugh Jackman, Liev Schreiber, Ryan Reynolds","A look at Wolverine's early life, in particular his time with the government squad Weapon and the impact it will have on his later years."
2014-06-21,Pearl,tt1093357,The Darkest Hour,2011,"Emile Hirsch, Olivia Thirlby, Max Minghella","In Moscow, five young people lead the charge against an alien race who have attacked Earth via our power supply."
2014-06-22,Pearl,tt0409182,Poseidon,2006,"Richard Dreyfuss, Kurt Russell, Emmy Rossum","On New Year's Eve, the luxury ocean liner, Poseidon, capsizes after being swamped by a rogue wave. The survivors are left to fight for survival as they attempt to escape the sinking ship."
2014-07-11,Pearl,tt0892769,How To Train Your Dragon,2010,"Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
2014-07-20,Pearl,tt1250777,Kick-Ass,2010,"Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so."
2014-07-25,Pearl,tt1302067,Yogi Bear,2010,"Dan Aykroyd, Justin Timberlake, Anna Faris","A documentary filmmaker travels to Jellystone Park to shoot a project and soon crosses paths with Yogi Bear, his sidekick Boo-Boo, and Ranger Smith."
2014-08-15,Pearl,tt0479952,Madagascar: Escape 2 Africa,2008,"Ben Stiller, Chris Rock, David Schwimmer","The animals try to fly back to New York City, but crash-land on an African wildlife refuge, where Alex is reunited with his parents."
2014-08-17,Pearl,tt0970416,The Day the Earth Stood Still,2008,"Keanu Reeves, Jennifer Connelly, Kathy Bates",A remake of the 1951 classic sci-fi film about an alien visitor and his giant robot counterpart who visit Earth.
2014-09-01,PPTV,tt1418377,"I, Frankenstein",2014,"Aaron Eckhart, Bill Nighy, Miranda Otto","Frankenstein's creature finds himself caught in an all-out, centuries old war between two immortal clans."
2014-09-04,PPTV,tt2828996,A Haunted House 2,2014,"Marlon Wayans, Jaime Pressly, Cedric the Entertainer","Having exorcised the demons of his ex, Malcolm is starting fresh with his new girlfriend and her two children. After moving into their dream home, however, Malcolm is once again plagued by bizarre paranormal events."
2014-09-05,PPTV,tt2243537,A Haunted House,2013,"Marlon Wayans, Essence Atkins, Marlene Forte","Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help."
2014-09-06,PPTV,tt2401807,Rage,2014,"Nicolas Cage, Rachel Nichols, Max Ryan","When the daughter of a reformed criminal is kidnapped, he rounds up his old crew and seeks his own brand of justice."
2014-09-07,PPTV,tt2544734,Bullet,2014,"Danny Trejo, Torsten Voges, Jonathan Banks",A tough cop takes the law into his own hands when his grandson is kidnapped.
2014-09-09,PPTV,tt2398249,They Came Together,2014,"Paul Rudd, Amy Poehler, Bill Hader","When Joel and Molly meet, it's hate at first sight: his big Corporate Candy Company threatens to shut down her quirky indie shop. Plus, Joel is hung up on his sexy ex. But amazingly, they fall in love, until they break up about two thirds of the way through."
2014-09-10,PPTV,tt2388715,Oculus,2013,"Karen Gillan, Brenton Thwaites, Katee Sackhoff","A woman tries to exonerate her brother, who was convicted of murder, by proving that the crime was committed by a supernatural phenomenon."
2014-09-11,PPTV,tt2654580,Almost Human,2013,"Karl Urban, Michael Ealy, Minka Kelly","In a not-so-distant future, human cops and androids partner up to protect and serve."
2014-09-12,PPTV,tt2463288,Walk of Shame,2014,"Elizabeth Banks, James Marsden, Gillian Jacobs","A reporter's dream of becoming a news anchor is compromised after a one-night stand leaves her stranded in downtown L.A. without a phone, car, ID or money - and only 8 hours to make it to the most important job interview of her life."
2014-09-14,PPTV,tt1085492,The Prince,2014,"Jason Patric, Bruce Willis, John Cusack","A retired assassin is drawn back into the life he gave up when his daughter is kidnapped. To rescue her, he must confront his former rival."
2014-09-18,PPTV,tt2295722,Falcon Rising,2014,"Michael Jai White, Neal McDonough, Laila Ali","Chapman is an ex-marine in Brazil's slums, battling the yakuza outfit who attacked his sister and left her for dead."
2014-09-20,PPTV,tt1715336,Anna,2013,"Mark Strong, Taissa Farmiga, Brian Cox","A man with the ability to enter peoples' memories takes on the case of a brilliant, troubled sixteen-year-old girl to determine whether she is a sociopath or a victim of trauma."
2014-09-22,PPTV,tt1706620,Snowpiercer,2013,"Chris Evans, Jamie Bell, Tilda Swinton","Set in a future where a failed climate-change experiment kills all life on the planet except for a lucky few who boarded the Snowpiercer, a train that travels around the globe, where a class system emerges."
